day,sentiment_score,prob_negative,prob_neutral,prob_positive,Text
2010-06-04,-0.04829097166657448,0.08413970470428467,0.8800115585327148,0.03584873303771019,1
2011-12-01,-0.0067259278148412704,0.055502595379948616,0.8957206606864929,0.048776667565107346,2
2011-12-03,0.008929885923862457,0.05272426828742027,0.8856216073036194,0.06165415421128273,2
2011-12-04,0.0755023080855608,0.016838891431689262,0.8908199071884155,0.09234119951725006,1
2011-12-21,-0.015926980945680822,0.14436457612152612,0.7271978557109833,0.12843759517584527,7
2011-12-22,0.03518664495398601,0.020138786174356937,0.9245357712109884,0.05532543112834295,3
2011-12-24,-0.11134027503430843,0.2504997675617536,0.6103407641251882,0.13915949252744517,3
2011-12-26,0.23438525144010783,0.02308302614837885,0.719448697566986,0.25746827758848667,5
2011-12-27,0.02753133326768875,0.02663494274020195,0.9191986918449402,0.0541662760078907,1
2011-12-28,-0.006040241569280624,0.038167472928762436,0.9297052621841431,0.03212723135948181,1
2011-12-29,0.08034522477537394,0.05486989971250296,0.8099149703979492,0.1352151244878769,5
2011-12-30,0.04865406160908086,0.07107320800423622,0.8091995290347508,0.11972726961331707,7
2011-12-31,-0.2330985814332962,0.2895320306221644,0.6540345152219137,0.0564334491888682,3
2012-01-01,-0.054600161633321216,0.2190375817673547,0.6165249816008976,0.16443742013403348,7
2012-01-03,0.11591574270278215,0.02252583981802066,0.8390326102574667,0.13844158252080283,3
2012-01-06,0.1653159105529388,0.027269767597317696,0.7801445126533508,0.19258567815025648,3
2012-01-11,0.003459133207798004,0.02964303269982338,0.9372547268867493,0.033102165907621384,1
2012-01-12,0.14415387405703464,0.04492005115995804,0.7660060127576193,0.1890739252169927,3
2012-01-13,0.31930282805114985,0.013381212018430233,0.6539347171783447,0.3326840400695801,1
2012-01-14,-0.164605762809515,0.21552154421806335,0.7335626482963562,0.050915781408548355,2
2012-01-17,-0.5723403884718815,0.6162474801143011,0.3398454437653224,0.043907091642419495,3
2012-01-18,-0.31249020993709564,0.3446057438850403,0.6232786774635315,0.03211553394794464,1
2012-01-22,0.16457767225801945,0.0165123101323843,0.8023976683616638,0.18108998239040375,1
2012-01-23,0.02645251527428627,0.03313179686665535,0.9072837829589844,0.05958431214094162,1
2012-01-24,0.052210865542292595,0.03270573168992996,0.8823776543140411,0.08491659723222256,2
2012-01-27,0.1773310722783208,0.008877473883330822,0.8049139380455017,0.1862085461616516,1
2012-01-28,-0.0689217234030366,0.10437281616032124,0.8601761162281036,0.03545109275728464,2
2012-01-31,-0.19977756775915623,0.22441598773002625,0.7509456276893616,0.024638419970870018,1
2012-02-01,0.01875684061087668,0.09786290931515396,0.7855173349380493,0.11661974992603064,2
2012-02-02,0.04172886349260807,0.01563669554889202,0.926997721195221,0.05736555904150009,1
2012-02-04,0.03800935111939907,0.014865882694721222,0.9322588741779327,0.05287523381412029,2
2012-02-05,0.0031439661979675293,0.02760571986436844,0.9416446089744568,0.030749686062335968,1
2012-02-06,0.06407784577459097,0.01691587921231985,0.9020904004573822,0.08099372498691082,2
2012-02-07,0.3586491635069251,0.009130061604082584,0.6230907440185547,0.3677792251110077,1
2012-02-08,-0.22458174545317888,0.27840894740074873,0.6677638590335846,0.05382720194756985,3
2012-02-09,0.05917114298790693,0.01404475886374712,0.9127392768859863,0.07321590185165405,1
2012-02-10,0.036423290614038706,0.08847140660509467,0.7866339236497879,0.12489469721913338,4
2012-02-12,0.01234898716211319,0.02723316103219986,0.9331846833229065,0.03958214819431305,1
2012-02-14,0.05637773405760527,0.014591199345886707,0.9144399166107178,0.07096893340349197,1
2012-02-17,-0.015665052458643913,0.04418022185564041,0.9273046255111694,0.028515169396996498,1
2012-02-21,-0.010830719023942947,0.04294663295149803,0.9249375462532043,0.032115913927555084,1
2012-02-22,0.09245358686894178,0.011652966029942036,0.884240448474884,0.10410655289888382,1
2012-02-25,0.23163301715006432,0.010817242475847403,0.7467324733734131,0.2424502596259117,3
2012-02-28,0.10845478717237711,0.012226133607327938,0.8670929074287415,0.12068092077970505,1
2012-02-29,0.05340144224464893,0.01789066754281521,0.9108172059059143,0.07129210978746414,1
2012-03-02,0.0247734896838665,0.024903234094381332,0.9254200458526611,0.04967672377824783,1
2012-03-07,0.07411385234445333,0.015296139754354954,0.8952938318252563,0.08940999209880829,1
2012-03-11,-0.050849590450525284,0.08030633255839348,0.8902369141578674,0.029456742107868195,2
2012-03-12,0.03318498283624649,0.08625827729701996,0.7942984104156494,0.11944326013326645,1
2012-03-13,0.0076404232531785965,0.029457462951540947,0.9334446787834167,0.03709788620471954,1
2012-03-14,-0.036664025858044624,0.06465266644954681,0.9073587656021118,0.02798864059150219,1
2012-03-15,0.06798306060954928,0.016335798893123865,0.8993453085422516,0.08431885950267315,2
2012-03-20,0.06879816856235266,0.014101670123636723,0.9029984474182129,0.08289983868598938,1
2012-03-22,0.039821287617087364,0.017080722376704216,0.9260172843933105,0.05690200999379158,1
2012-03-28,0.07625892292708158,0.014470797963440418,0.8947994709014893,0.090729720890522,1
2012-03-31,0.06966851465404034,0.03120918571949005,0.8679130971431732,0.10087770037353039,2
2012-04-01,0.04966746270656586,0.01956634223461151,0.9111998677253723,0.06923380494117737,1
2012-04-03,-0.016000498086214066,0.05771017447113991,0.9005801379680634,0.04170967638492584,2
2012-04-04,0.056924156844615936,0.07887125760316849,0.7853333353996277,0.13579541444778442,1
2012-04-05,-0.31966623291373253,0.3694780357182026,0.5807101652026176,0.04981180280447006,2
2012-04-09,0.099507341782252,0.02096122254927953,0.8585702578226725,0.12046856433153152,3
